Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"tests.test_cli#test_cli_route_tool","CLI route recommends tool tier for find task","passed","415ms",,,"Run greedy-token route for find task passed (415ms)
  stdout: Task: find baseUrl in sample.js | Route: TOOL  (tool-rg-search, 59%) | Complexity: low | Est. tokens: 0 | Rationale: Mechanical search — ripgrep/jq, zero LLM tokens. 0 tokens — ripgrep before RAG/Cursor | Matched: find | Command: cd /tmp... passed (0s)
 Verify route recommends tool tier passed (0s)","CLI","greedy-token CLI",,"CLI","greedy-token CLI","Route"
"tests.test_cli_commands#test_cli_run_execute_find_task","CLI run --execute runs read-only find task","passed","427ms",,,"Run greedy-token run --execute passed (426ms)
  stdout: Route: tool (tool-rg-search) | Complexity: low  Est. tokens: 0 | projects/sample.js:1:const baseUrl = 'http://localhost'; | docs/rag/config/test-chunk.md:1:baseUrl is configured via -DbaseUrl flag in Gradle. passed (0s)
 Verify search finds baseUrl passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Run"
"tests.test_cli_commands#test_cli_run_dry_run_shows_plan","CLI run dry-run prints plan without executing","passed","402ms",,,"Run greedy-token run dry-run passed (401ms)
  stdout: Route: tool (tool-rg-search) | Complexity: low  Est. tokens: 0 | cd /tmp/pytest-of-runner/pytest-0/test_cli_run_dry_run_shows_pla0 && /usr/bin/rg -n --max-columns 200 -F baseUrl -g '!.git/**' -g '!node_modules/**' -g '!build/**' -g '!.ve... passed (0s)
 Verify plan shows route and execute hint passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Run"
"tests.test_coverage_gaps#test_cli_run_branches","CLI run prints fallback note and non-readonly dry-run hint","passed","185ms",,,,"Test infrastructure","Coverage gaps",,"Test infrastructure","Coverage gaps",
"tests.test_cli_commands#test_cli_scripts_list","CLI scripts --list shows wrapper registry","passed","160ms",,,"Run greedy-token scripts --list passed (160ms)
  stdout: Script wrappers (scripts/ollama | migrate | check-meta-sync): | check-meta-sync      [meta] read-only | scripts/meta-sync-check.py | Meta validation — no LLM (JSON stdout) | configurator-boolean-audit [meta] read-only | scripts/configura... passed (0s)
 Verify check-meta-sync wrapper is listed passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Scripts"
"tests.test_cli_commands#test_cli_scripts_run_execute_check_meta_sync","CLI scripts --run check-meta-sync --execute runs wrapper","passed","330ms",,,"Run greedy-token scripts --run check-meta-sync --execute passed (329ms)
  stdout: meta-sync-check-ok passed (0s)
 Verify wrapper script output passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Scripts"
"tests.test_cli#test_cli_scripts_lint","CLI scripts lint exit 0 on clean routes and 1 on violations","passed","144ms",,,"Run greedy-token scripts lint against package routes passed (140ms)
  stdout: scripts lint OK — 0 python routes, 0 patterns passed (0s)
  root: /home/runner/work/greedy-token/greedy-token passed (0s)","CLI","greedy-token CLI",,"CLI","greedy-token CLI","Scripts lint"
"tests.test_cli_commands#test_cli_tokens_counts_file","CLI tokens counts tokens in workspace file","passed","296ms",,,"Run greedy-token tokens on sample.js passed (295ms)
  stdout: path                                                           tokens    chars | ------------------------------------------------------------------------------ | projects/sample.js                                                  8      ... passed (0s)
 Verify token count output passed (0s)","CLI","CLI commands",,"CLI","CLI commands","Tokens"
"tests.test_cli_handlers#test_cmd_audit_context","cmd_audit_context renders audit report","passed","2ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Audit"
"tests.test_cli_gaps#test_cmd_budget_no_workspace","cmd_budget tolerates missing workspace root","passed","3ms",,,,"CLI","CLI gaps",,"CLI","CLI v0.6 handlers",
"tests.test_cli_handlers#test_cmd_compress_stdin","cmd_compress reads stdin and prints dual format","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Compress"
"tests.test_cli_handlers#test_cmd_compress_empty_stdin","cmd_compress rejects empty stdin","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Compress"
"tests.test_cli_handlers#test_cmd_compress_too_large","cmd_compress rejects oversized stdin","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Compress"
"tests.test_cli_handlers#test_cmd_config_export_reveal","cmd_config --export --reveal prints secret with a stderr warning","passed","0s",,,"Run config --export --reveal passed (0s)
 Verify real secret printed and shell-history warning on stderr passed (0s)","CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_handlers#test_cmd_config_export_reveal_no_key","cmd_config --export --reveal without a key prints no warning","passed","0s",,,"Run config --export --reveal with no api_key passed (0s)
 Verify no key line and no history warning passed (0s)","CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_handlers#test_cmd_config_export_masks_secret","cmd_config --export masks CHEAP_LLM_API_KEY by default","passed","0s",,,"Run config --export without --reveal passed (0s)
 Verify secret is masked and no history warning passed (0s)","CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_handlers#test_cmd_config_export","cmd_config --export prints shell exports","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_handlers#test_cmd_config_init_preset","cmd_config --init --preset local-ollama","passed","20ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_gaps#test_cmd_config_preset_ignores_flags","cmd_config --init --preset warns when url/model/provider also passed","passed","20ms",,,,"CLI","CLI gaps",,"CLI","CLI v0.6 handlers",
"tests.test_cli_gaps#test_cmd_config_init_bad_preset","cmd_config --init bad preset returns error","passed","1ms",,,,"CLI","CLI gaps",,"CLI","CLI v0.6 handlers",
"tests.test_cli_handlers#test_cmd_config_init","cmd_config --init creates user config","passed","6ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_handlers#test_cmd_config_init_exists","cmd_config --init returns error when config exists","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_handlers#test_cmd_config_init_without_workspace","cmd_config --init works without workspace root (PyPI bootstrap)","passed","6ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_handlers#test_cmd_config_list_presets","cmd_config --list-presets prints preset names","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_handlers#test_cmd_config_show","cmd_config prints Ollama settings","passed","2ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_handlers#test_cmd_config_show_requires_workspace","cmd_config show requires workspace when not --init","passed","0s",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Config"
"tests.test_cli_gaps#test_cmd_doctor","cmd_doctor: text, json, apply ok, apply error, no workspace","passed","2ms",,,,"CLI","CLI gaps",,"CLI","CLI v0.6 handlers",
"tests.test_cli_handlers#test_cmd_estimate","cmd_estimate prints tier scan","passed","181ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Estimate"
"tests.test_cli_gaps#test_cmd_hub_serve","cmd_hub_serve delegates to hub.serve","passed","0s",,,,"CLI","CLI gaps",,"CLI","CLI v0.6 handlers",
"tests.test_cli_handlers#test_cmd_init_apply_config_exists","cmd_init --apply refuses to overwrite an existing config without --force","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Init"
"tests.test_cli_handlers#test_cmd_init_apply_write_error","cmd_init --apply returns 1 when writing the config fails","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Init"
"tests.test_cli_handlers#test_cmd_init_apply_writes_policy","cmd_init --apply writes config with profile policy","passed","5ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Init"
"tests.test_cli_handlers#test_cmd_init_json","cmd_init --json returns detection payload","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Init"
"tests.test_cli_handlers#test_cmd_init_routes_from","cmd_init --routes-from merges routes into the workspace config","passed","10ms",,,"stdout: Merged 1 route(s) into /tmp/pytest-of-runner/pytest-0/test_cmd_init_routes_from0/ws/.greedy-token.yaml: | - team-jq | Verify: greedy-token route ""<task>"" passed (0s)
 Re-run is idempotent (merge by id, no duplicates) + --json payload passed (5ms)","CLI","CLI handlers",,"CLI","CLI handlers","Init routes"
"tests.test_cli_handlers#test_cmd_init_routes_from_errors","cmd_init --routes-from rejects missing file and files without routes","passed","1ms",,,"Missing file → exit 2 passed (0s)
 YAML without routes: section → exit 2 passed (0s)","CLI","CLI handlers",,"CLI","CLI handlers","Init routes"
"tests.test_cli_handlers#test_cmd_init_routes_scaffold","cmd_init --routes-scaffold writes tool-rg-search with detected folders","passed","14ms",,,"stdout: Merged 1 route(s) into /tmp/pytest-of-runner/pytest-0/test_cmd_init_routes_scaffold0/ws/.greedy-token.yaml: | - tool-rg-search | Verify: greedy-token route ""<task>"" passed (0s)","CLI","CLI handlers",,"CLI","CLI handlers","Init routes"
"tests.test_cli_handlers#test_cmd_init_detect_only","cmd_init detect-only reports profile policy and tiers","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Init"
"tests.test_cli_handlers#test_cmd_init_bad_profile","cmd_init rejects unknown profile","passed","0s",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Init"
"tests.test_cli_handlers#test_cmd_init_routes_cwd_fallback","cmd_init routes fall back to cwd when no workspace root is found","passed","14ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Init routes"
"tests.test_cli_handlers#test_cmd_init_detect_missing_tools","cmd_init surfaces install hints when ripgrep and ollama are missing","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Init"
"tests.test_cli_gaps#test_cmd_llm_invoke","cmd_llm_invoke: files, stdin, missing user, json, text, error","passed","1ms",,,,"CLI","CLI gaps",,"CLI","CLI v0.6 handlers",
"tests.test_cli_gaps#test_cmd_llm_list","cmd_llm_list prints registry and models","passed","2ms",,,,"CLI","CLI gaps",,"CLI","CLI v0.6 handlers",
"tests.test_cli_gaps#test_cmd_override","cmd_override logs event in text and json modes","passed","1ms",,,,"CLI","CLI gaps",,"CLI","CLI v0.6 handlers",
"tests.test_cli_handlers#test_cmd_pipeline_list","cmd_pipeline --list prints recipes","passed","7ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Pipeline"
"tests.test_cli_handlers#test_cmd_pipeline_dry_run","cmd_pipeline dry-run returns zero on success","passed","11ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Pipeline"
"tests.test_cli_handlers#test_cmd_rag","cmd_rag searches docs with optional domain","passed","4ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","RAG"
"tests.test_cli_handlers#test_cmd_report_json","cmd_report --json emits JSON summary","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Report"
"tests.test_cli_handlers#test_cmd_report_text","cmd_report prints text summary","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Report"
"tests.test_cli_handlers#test_cmd_route","cmd_route prints decision and returns zero","passed","183ms",,,"stdout: Task: find baseUrl in sample.js | Route: TOOL  (tool-rg-search, 59%) | Complexity: low | Est. tokens: 0 | Rationale: Mechanical search — ripgrep/jq, zero LLM tokens. 0 tokens — ripgrep before RAG/Cursor | Matched: find | Command: cd /tmp... passed (0s)","CLI","CLI handlers",,"CLI","CLI handlers","Route"
"tests.test_cli_handlers#test_cmd_run_execute_cursor_refused","cmd_run --execute on cursor route exits non-zero with guidance","passed","219ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Run"
"tests.test_cli_handlers#test_cmd_run_execute","cmd_run --execute runs read-only task","passed","197ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Run"
"tests.test_cli_handlers#test_cmd_run_dry_run","cmd_run dry-run prints plan","passed","124ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Run"
"tests.test_cli_handlers#test_cmd_scripts_run_audit_skill_execute","cmd_scripts --execute allows stdout-only audit-skill","passed","3ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_handlers#test_cmd_scripts_run_timeout","cmd_scripts --execute handles script timeout","passed","0s",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_handlers#test_cmd_scripts_list","cmd_scripts --list prints wrapper registry","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_handlers#test_cmd_scripts_run_execute","cmd_scripts --run --execute runs read-only wrapper","passed","3ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_handlers#test_cmd_scripts_run_dry","cmd_scripts --run dry-run prints command","passed","2ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_handlers#test_cmd_scripts_run_refuse_write","cmd_scripts --run rejects non-read-only execute","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_handlers#test_cmd_scripts_run_unknown","cmd_scripts --run returns error for unknown wrapper","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_gaps#test_cmd_scripts_lint","cmd_scripts lint runs crystallize lint report","passed","57ms",,,,"CLI","CLI gaps",,"CLI","CLI v0.6 handlers",
"tests.test_cli_handlers#test_cmd_scripts_usage","cmd_scripts without list or run prints usage error","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Scripts"
"tests.test_cli_handlers#test_cmd_tokens","cmd_tokens counts files in workspace","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Tokens"
"tests.test_cli_handlers#test_cmd_tokens_no_files","cmd_tokens returns error when no files found","passed","1ms",,,,"CLI","CLI handlers",,"CLI","CLI handlers","Tokens"
"tests.test_cli_gaps#test_cmd_watch","cmd_watch delegates to watch_events","passed","0s",,,,"CLI","CLI gaps",,"CLI","CLI v0.6 handlers",
"tests.test_coverage_gaps#test_code_search_directory_scope","code_search directory scope and python engine fallback","passed","11ms",,,,"Test infrastructure","Coverage gaps",,"Test infrastructure","Coverage gaps",
"tests.test_coverage_gaps#test_code_search_resolve_edges","code_search: unique dir, outside OSError, empty basename, name_glob","passed","21ms",,,,"Test infrastructure","Coverage gaps",,"Test infrastructure","Coverage gaps",
"tests.test_tokens#test_collect_paths_skips_suffixes","collect_paths skips binary suffixes and broken symlinks","passed","1ms",,,,"Greedy token","Token counting",,"Greedy token","Token counting","Path collection"
"tests.test_budget#test_format_tool_footer_compact_default","Compact footer is default and shorter than full","passed","88ms",,,"compact footer: --- | > **Greedy token** · `rg` · 42ms · saved **~6,009** (baseline: default-estimate) | > spent ~0 · naive ~6,009 · free tier · mcp-search | Budget (Jul): metered $0.00/$50 (0%) · cursor est. ~$0/$30 (0%) | Local: unavailable (http://lo... passed (0s)","Greedy token","Token budget",,"Greedy token","Token budget","Footer style"
"tests.test_prompt_compress#test_compress_ollama_detail","compress_ollama_detail calls stub server","passed","4ms",,,,"Prompt compression","Heuristic compress",,"Prompt compression","Heuristic compress","Ollama"
"tests.test_prompt_compress#test_compress_prompt_ollama_fallback","compress_prompt_detail falls back on Ollama failure","passed","0s",,,,"Prompt compression","Heuristic compress",,"Prompt compression","Heuristic compress","Ollama"
"tests.test_pipeline#test_compute_step_savings_math","compute_step_savings enumerates from 1, threads root, and clamps saved","passed","1ms",,,,"Pipeline","Multi-step chains",,"Pipeline","Multi-step chains","Compute savings"
"tests.test_pipeline_gaps#test_compute_step_savings_tier","compute_step_savings: row carries the step tier (kills tier→None)","passed","0s",,,,"Pipeline","Pipeline gaps",,"Pipeline","Step runner",
"tests.test_usage#test_logging_disabled","Conditional append skips write when logging disabled","passed","0s",,,"Attempt append with logging disabled passed (0s)
  logging enabled: False passed (0s)
  log file exists: False passed (0s)
 Verify no log file was created passed (0s)","Greedy token","Usage telemetry",,"Greedy token","Usage telemetry","Logging toggle"
"tests.test_context_audit#test_audit_context_finds_rules","Context audit discovers always-on Cursor rules","passed","2ms",,,"Audit workspace Cursor context passed (2ms)
  item kinds: rule, skill passed (0s)
  always-on count: 1 passed (0s)
 Verify always-on rules are discovered passed (0s)","Greedy token","Context audit",,"Greedy token","Context audit","Rules scan"
"tests.test_coverage_gaps#test_context_audit_empty_rules","context_audit skips directories and empty rules table","passed","3ms",,,,"Test infrastructure","Coverage gaps",,"Test infrastructure","Coverage gaps",
"tests.test_tokens#test_count_texts_heuristic_fallback","count_texts uses heuristic when batch encoding fails","passed","1ms",,,,"Greedy token","Token counting",,"Greedy token","Token counting","Batch fallback"
"tests.test_tokens#test_count_tokens_invariants","count_tokens is non-negative and faithfully reports char length","passed","268ms",,,,"Greedy token","Token counting",,"Greedy token","Token counting","Invariants"
"tests.test_tokens#test_count_tokens_heuristic_fallback","count_tokens uses heuristic when tiktoken encoding fails","passed","0s",,,,"Greedy token","Token counting",,"Greedy token","Token counting","Heuristic fallback"
"tests.test_usage#test_cursor_baseline_includes_overhead","Cursor baseline includes agent overhead tokens","passed","2ms",,,"Compute cursor baseline passed (2ms)
  baseline tokens: 6007 passed (0s)
 Verify baseline includes agent overhead passed (0s)","Greedy token","Usage telemetry",,"Greedy token","Usage telemetry","Baseline"
"tests.test_estimator#test_cursor_baseline_includes_rules_task_and_overhead","Cursor baseline sums always-on rules, task, and agent overhead","passed","2ms",,,"Compute cursor baseline for find task passed (2ms)
  task: find baseUrl in sample.js passed (0s)
  baseline tokens: 6011 passed (0s)
 Verify baseline exceeds task token count passed (0s)","Greedy token","Task estimator",,"Greedy token","Task estimator","Cursor baseline"
"tests.test_estimator#test_cursor_saved_for_tool_tier","Cursor saved equals baseline minus spent for tool tier","passed","3ms",,,"Compute cursor savings for tool tier passed (3ms)
  baseline: 6011 passed (0s)
  saved: 6011 passed (0s)
 Verify saved equals full baseline passed (0s)","Greedy token","Task estimator",,"Greedy token","Task estimator","Savings"
"tests.test_estimator#test_cursor_saved_for_cursor_target_is_zero","Cursor saved is zero when route target is cursor","passed","2ms",,,"Compute cursor savings for cursor tier passed (1ms)
  baseline: 6012 passed (0s)
  saved: 0 passed (0s)
 Verify zero savings and baseline exceeds spent passed (0s)","Greedy token","Task estimator",,"Greedy token","Task estimator","Savings"
"tests.test_usage#test_cursor_saved_tool","Cursor savings is reported for tool tier","passed","2ms",,,"Compute cursor savings for tool tier passed (2ms)
  saved tokens: 6008 passed (0s)
 Verify positive savings passed (0s)","Greedy token","Usage telemetry",,"Greedy token","Usage telemetry","Savings estimate"
"tests.test_usage#test_cursor_saved_cursor","Cursor savings is zero for cursor tier","passed","0s",,,"Compute cursor savings for cursor tier passed (0s)
  saved tokens: 0 passed (0s)
 Verify zero savings passed (0s)","Greedy token","Usage telemetry",,"Greedy token","Usage telemetry","Savings estimate"
"tests.test_budget#test_format_tool_footer_cursor_no_savings","Cursor tier footer shows zero savings","passed","71ms",,,"Format tool footer for cursor tier passed (71ms)
  footer: --- | Greedy token | This call | Executor: cursor — expensive LLM agent loop | Route: cursor-wiring | Spent (MCP executor, LLM tokens): ~11,000  (expensive LLM path — same order as baseline) | Billing: expensive LLM (Cursor agent) — full... passed (0s)
 Verify zero savings for cursor tier passed (0s)","Greedy token","Token budget",,"Greedy token","Token budget","Tool footer"
"tests.test_budget_gaps#test_cursor_warn_bias","cursor warn biases medium cursor task to available local LLM","passed","1ms",,,,"Budget","Budget gaps",,"Budget","Split budget",
"tests.test_budget_gaps#test_cursor_warn_unavailable","cursor warn falls through when local LLM unavailable","passed","0s",,,,"Budget","Budget gaps",,"Budget","Split budget",
"tests.test_budget_gaps#test_cursor_warn_skips_non_ollama","cursor warn skips non-ollama alts before selecting local LLM","passed","0s",,,,"Budget","Budget gaps",,"Budget","Split budget",
"tests.test_pyramid_layer_colors#test_overrides_css_defines_layer_vars","dashboard-overrides.css defines --layer-* for light and dark","passed","0s",,,"dashboard-overrides.css head: /* Injected into Allure 3 dashboard/awesome (prepare-allure-pages-colors.sh). | * Palette A / Allure3 F5 — SSOT with design-system tokens.css --layer-* and | * allure/pyramid-layer-colors.mjs. Allure paints all active bands with | * one ... passed (0s)
 Require Palette A vars in :root and dark theme passed (0s)","Test infrastructure","Pyramid layer colors",,"Test infrastructure","Pyramid layer colors","CSS vars"
"tests.test_pyramid_layer_colors#test_overrides_js_uses_css_vars_and_name_pairing","dashboard-overrides.js paints SVG with resolved colors, not raw CSS vars","passed","1ms",,,"overrides js markers: checked passed (1ms)
 Reject regressive patterns passed (0s)
  Robust label parsing (digits + concatenated tspans) passed (0s)","Test infrastructure","Pyramid layer colors",,"Test infrastructure","Pyramid layer colors","Override script"
"tests.test_budget_gaps#test_deprecated_local_hint","deprecated local model appends pull hint for ollama route","passed","0s",,,,"Budget","Budget gaps",,"Budget","Split budget",
"tests.test_resource_probe_gaps#test_detect_hardware_tiers","detect_hardware maps vram to all tiers","passed","1ms",,,,"Resource probe","Resource probe gaps",,"Resource probe","Hardware + Ollama doctor",
"tests.test_paths#test_detect_search_paths","detect_search_paths lists top-level folders, skipping hidden and vendor dirs","passed","1ms",,,"No usable folders → fall back to '.' passed (0s)","Configuration","Workspace paths",,"Configuration","Workspace paths","Init routes helpers"
"tests.test_router#test_disabled_shadow_route_is_skipped","Disabled shadow route does not execute script tier","passed","55ms",,,"Route task matching provider balance shadow route passed (55ms)
  decision: { | ""target"": ""cursor"", | ""route_id"": ""cursor-fallback"", | ""shadow_route_id"": ""python-provider-balance"" | } passed (0s)
 Verify disabled shadow route is skipped but logged passed (0s)","Routing","Task router",,"Routing","Task router","Shadow routes"
"tests.test_router#test_draft_rag_does_not_hit_removed_null_route","Draft-rag phrases no longer hit removed ollama-rag-draft stub","passed","55ms",,,"Route former phantom draft-rag phrase passed (54ms)
  decision: { | ""target"": ""cursor"", | ""route_id"": ""cursor-fallback"", | ""command"": null, | ""dry_run"": ""Open new Cursor chat.\nTask: draft rag chunk\nBefore paste: greedy-token audit-context && greedy-token rag \""<topic>\"""" | } passed (0s)
 Verify no null-command ollama-rag-draft / No executor passed (0s)","Routing","Task router",,"Routing","Task router","Ollama routes"
"tests.test_prompt_compress#test_format_dual_wraps_blocks","Dual-format output wraps long and short prompt blocks","passed","0s",,,"Format dual prompt blocks passed (0s)
  dual format output: **Prompt:** | ```text | long prompt | ``` | **Short version for agent:** | ```text | short | ``` passed (0s)
 Verify both prompt blocks are present passed (0s)","Prompt compression","Heuristic compress",,"Prompt compression","Heuristic compress","Dual format"
"tests.test_search_enrich#test_edit_verbs_confidence_penalty","edit verbs lower tool-route confidence","passed","133ms",,,,"Code search","Context enrichment",,"Code search","Context enrichment","Router"
"tests.test_code_search_gaps#test_enrich_empty","enrich_search_hits returns empty on none mode or no hits","passed","0s",,,,"Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_code_search_gaps#test_enrich_file_modes","enrich_search_hits skips missing/unreadable files, supports full-file mode","passed","2ms",,,,"Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_code_search_gaps#test_enrich_token_budget","enrich_search_hits stops at token budget across multiple files","passed","2ms",,,,"Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_code_search_gaps#test_enrich_none_mode_existing_file","enrich_search_hits: 'none' mode returns empty even with an existing file hit","passed","1ms",,,,"Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_code_search_gaps#test_enrich_default_max_files","enrich_search_hits: default max_files is 3","passed","2ms",,,,"Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_code_search_gaps#test_enrich_defaults_and_centering","enrich_search_hits: default mode/context_lines and snippet centering are exact","passed","2ms",,,"default mode is 'snippet' (header shows the mode verbatim) passed (0s)
 default context_lines is 15 → window 5-35 for a hit at line 20 passed (0s)
  first-hit line is used as center (kills 'not in' → 'in' and get(None,1)) passed (0s)
   slice offset and numbering are exact (kills start-1/±i mutants) passed (0s)
    numbered rows and header/body are '\n'/'\n\n' joined (kills XX-joins) passed (0s)","Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_code_search_gaps#test_enrich_file_mode_exact","enrich_search_hits: full-file mode emits exact body and rel header","passed","1ms",,,,"Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_code_search_gaps#test_enrich_max_files_threaded","enrich_search_hits: max_files is threaded into unique_hit_paths","passed","1ms",,,,"Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_code_search_gaps#test_enrich_skip_continue","enrich_search_hits: skip branches use continue, not break","passed","3ms",,,"outside-root path is skipped; a later valid file is still enriched passed (1ms)
 missing (non-file) path is skipped; later valid file still enriched passed (0s)
  unreadable (OSError) file is skipped; later valid file still enriched passed (1ms)","Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_code_search_gaps#test_enrich_top_of_file_clamp","enrich_search_hits: start clamps to 1 for a top-of-file hit (kills max(2,..))","passed","1ms",,,,"Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_code_search_gaps#test_enrich_token_accounting","enrich_search_hits: token accounting, budget boundary, and multi-block join","passed","3ms",,,"used+tok exactly == budget → NOT stopped (kills > → >=); sums accumulate passed (0s)
 used+tok just over budget → stopped early (kills default 2001) passed (0s)","Code search","Code search gaps",,"Code search","Parse and enrich",
"tests.test_advisory#test_env_toggles","env toggles: enabled / overkill gate / threshold / tty","passed","1ms",,,,"Advisory","Advisory",,"Advisory","Hook advisory log",
"tests.test_model_select_gaps#test_escalation_skips_expensive_no_optin","escalation skips expensive when opt-in disabled, keeps cheap","passed","0s",,,,"tests","test_model_select_gaps",,,,
"tests.test_model_select_gaps#test_escalation_chain","escalation_chain_from: disabled, ordering, skips, max_steps","passed","1ms",,,,"tests","test_model_select_gaps",,,,
"tests.test_llm_invoke_gaps#test_invoke_escalates","escalation: weak output on primary escalates to next model","passed","17ms",,,,"tests","test_llm_invoke_gaps",,,,
"tests.test_baseline#test_estimate_footer_source_label","estimate footer marks Baseline and Saved with the source","passed","271ms",,,"estimate default: Task: find baseUrl | Route: TOOL  (tool-rg-search, 59%) | Complexity: low | Est. executor tokens: 0 | Rationale: Mechanical search — ripgrep/jq, zero LLM tokens. 0 tokens — ripgrep before RAG/Cursor | Matched: find | Command: cd /tmp/pyt... passed (0s)
 estimate measured: Task: find baseUrl | Route: TOOL  (tool-rg-search, 59%) | Complexity: low | Est. executor tokens: 0 | Rationale: Mechanical search — ripgrep/jq, zero LLM tokens. 0 tokens — ripgrep before RAG/Cursor | Matched: find | Command: cd /tmp/pyt... passed (0s)","Token economy","Baseline calibration",,"Token economy","Baseline calibration","Footer source label"
"tests.test_estimator#test_estimate_task_find_routes_to_tool","Estimate task routes find to tool with positive savings","passed","70ms",,,"Estimate find task routing and savings passed (69ms)
  estimate: { | ""target"": ""tool"", | ""complexity"": ""low"", | ""est_tokens"": 0, | ""cursor_saved"": 6011, | ""ollama_note"": null | } passed (0s)
 Verify tool route with positive savings passed (0s)","Greedy token","Task estimator",,"Greedy token","Task estimator","Estimate task"
"tests.test_estimator#test_estimate_task_ollama_unavailable_note","Estimate task sets ollama note when Ollama route is unavailable","passed","56ms",,,"Estimate audit task with Ollama unavailable passed (56ms)
  estimate: { | ""target"": ""cursor"", | ""ollama_note"": null | } passed (0s)
 Verify ollama note when route is ollama passed (0s)","Greedy token","Task estimator",,"Greedy token","Task estimator","Estimate task"
"tests.test_spend_guard_gaps#test_estimate_cost_usd_edges","estimate_cost_usd: zero and negative per-1M cost yield zero","passed","0s",,,,"Spend guard","Spend guard",,"Spend guard","Expensive LLM gate",
"tests.test_baseline#test_cursor_baseline_uses_calibrated_overhead","estimator.cursor_baseline uses the calibrated overhead","passed","1s 117ms",,,,"Token economy","Baseline calibration",,"Token economy","Baseline calibration","Source priority"
